"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Activity","Location","Reporting Type","Units","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","8","Albania","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","8","Albania","TOTAL","ALLAREA","G","M_M3_PER_YR","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","12","Algeria","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","12","Algeria","TOTAL","ALLAREA","G","M_M3_PER_YR","222.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","20","Andorra","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","20","Andorra","TOTAL","ALLAREA","G","M_M3_PER_YR","20.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","32","Argentina","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","32","Argentina","TOTAL","ALLAREA","G","M_M3_PER_YR","1914.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","51","Armenia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","44.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","51","Armenia","TOTAL","ALLAREA","G","M_M3_PER_YR","112.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","36","Australia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","36","Australia","TOTAL","ALLAREA","G","M_M3_PER_YR","2148.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","40","Austria","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","40","Austria","TOTAL","ALLAREA","G","M_M3_PER_YR","1074.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","31","Azerbaijan","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","31","Azerbaijan","TOTAL","ALLAREA","G","M_M3_PER_YR","264.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","48","Bahrain","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","48","Bahrain","TOTAL","ALLAREA","G","M_M3_PER_YR","169.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","50","Bangladesh","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","50","Bangladesh","TOTAL","ALLAREA","G","M_M3_PER_YR","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","112","Belarus","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","147.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","112","Belarus","TOTAL","ALLAREA","G","M_M3_PER_YR","747.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","56","Belgium","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","56","Belgium","TOTAL","ALLAREA","G","M_M3_PER_YR","960.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","84","Belize","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","84","Belize","TOTAL","ALLAREA","G","M_M3_PER_YR","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","68","Bolivia (Plurinational State of)","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","68","Bolivia (Plurinational State of)","TOTAL","ALLAREA","G","M_M3_PER_YR","137.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","70","Bosnia and Herzegovina","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","70","Bosnia and Herzegovina","TOTAL","ALLAREA","G","M_M3_PER_YR","38.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","76","Brazil","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","76","Brazil","TOTAL","ALLAREA","G","M_M3_PER_YR","4594.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","100","Bulgaria","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","50.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","100","Bulgaria","TOTAL","ALLAREA","G","M_M3_PER_YR","542.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","108","Burundi","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","108","Burundi","TOTAL","ALLAREA","G","M_M3_PER_YR","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","132","Cabo Verde","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","132","Cabo Verde","TOTAL","ALLAREA","G","M_M3_PER_YR","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","124","Canada","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","2190.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","124","Canada","TOTAL","ALLAREA","G","M_M3_PER_YR","7881.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","152","Chile","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","152","Chile","TOTAL","ALLAREA","G","M_M3_PER_YR","1216.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","156","China","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","156","China","TOTAL","ALLAREA","G","M_M3_PER_YR","86210.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","344","China, Hong Kong Special Administrative Region","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","344","China, Hong Kong Special Administrative Region","TOTAL","ALLAREA","G","M_M3_PER_YR","1019.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","446","China, Macao Special Administrative Region","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","446","China, Macao Special Administrative Region","TOTAL","ALLAREA","G","M_M3_PER_YR","77.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","170","Colombia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","151.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","170","Colombia","TOTAL","ALLAREA","G","M_M3_PER_YR","1214.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","188","Costa Rica","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","86.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","188","Costa Rica","TOTAL","ALLAREA","G","M_M3_PER_YR","119.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","191","Croatia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","27.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","191","Croatia","TOTAL","ALLAREA","G","M_M3_PER_YR","189.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","192","Cuba","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","69.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","192","Cuba","TOTAL","ALLAREA","G","M_M3_PER_YR","615.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","196","Cyprus","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","196","Cyprus","TOTAL","ALLAREA","G","M_M3_PER_YR","35.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","203","Czechia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","167.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","203","Czechia","TOTAL","ALLAREA","G","M_M3_PER_YR","1058.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","214","Dominican Republic","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","214","Dominican Republic","TOTAL","ALLAREA","G","M_M3_PER_YR","312.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","218","Ecuador","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","218","Ecuador","TOTAL","ALLAREA","G","M_M3_PER_YR","323.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","818","Egypt","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","818","Egypt","TOTAL","ALLAREA","G","M_M3_PER_YR","5114.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","233","Estonia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","14.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","233","Estonia","TOTAL","ALLAREA","G","M_M3_PER_YR","117.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","231","Ethiopia","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","41.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","231","Ethiopia","TOTAL","ALLAREA","G","M_M3_PER_YR","86.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","246","Finland","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","246","Finland","TOTAL","ALLAREA","G","M_M3_PER_YR","277.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","250","France","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","1565.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","250","France","TOTAL","ALLAREA","G","M_M3_PER_YR","6515.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","276","Germany","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","818.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","276","Germany","TOTAL","ALLAREA","G","M_M3_PER_YR","10022.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","288","Ghana","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","288","Ghana","TOTAL","ALLAREA","G","M_M3_PER_YR","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","348","Hungary","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","348","Hungary","TOTAL","ALLAREA","G","M_M3_PER_YR","528.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","356","India","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","356","India","TOTAL","ALLAREA","G","M_M3_PER_YR","9807.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","364","Iran (Islamic Republic of)","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","364","Iran (Islamic Republic of)","TOTAL","ALLAREA","G","M_M3_PER_YR","1415.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","368","Iraq","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","368","Iraq","TOTAL","ALLAREA","G","M_M3_PER_YR","717.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","388","Jamaica","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","388","Jamaica","TOTAL","ALLAREA","G","M_M3_PER_YR","154.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","392","Japan","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","392","Japan","TOTAL","ALLAREA","G","M_M3_PER_YR","15030.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","400","Jordan","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","400","Jordan","TOTAL","ALLAREA","G","M_M3_PER_YR","267.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","398","Kazakhstan","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","86.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT","Total wastewater treated (million m3/year)","398","Kazakhstan","TOTAL","ALLAREA","G","M_M3_PER_YR","668.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
